TOTAL;SECRETARIA;AGRUPAMENTO;SUBPREFEITURA;ADM REGIONAL;DRE;TIPO UNIDADE; ;CÓDIGO UNIDADE;NOME UNIDADE;ENDEREÇO;TELEFONE;CEP;BAIRRO;INICIO CONVENIO;FIM CONVENIO;TIPO ATENDIMENTO;INICIO DESATIVACAO;FIM DESATIVACAO;CODIGO EOL;INAUGURADO;INICIO TIPO ATENDIMENTO;FIM TIPO ATENDIMENTO
2593;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2;EMEF                ;7146;EMEF PROF. SHIRLEY GUIO - (TERCEI.);R. CRISTOVÃO LINS, 611;(11)22019779 (11)29499251;2083000;VL. MUNHOZ;;;TERCEIRIZADA;;;94951;17/02/1995;10/07/2007;
2594;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2;EMEF                ;7145;EMEF PROFA. MARIA HELENA FARIA LIMA - (TERCEI.);AV. ROLAND GARROS, 573;(11)22015241 (11)22126942;2235000;JD. BRASIL;;;TERCEIRIZADA;;;94927;02/03/1994;10/07/2007;
2595;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2;EMEF                ;7144;EMEF OLIVA IRENE BAYERLEIN SILVA - (TERCEI.);R. AMAZONAS DA SILVA, 893;(11)29099834 (11)29094880;2051001;VL. GUILHERME;;;TERCEIRIZADA;;;94773;03/03/1998;15/09/2003;
2596;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2;EMEF                ;7142;EMEF PROFA. HELENA LOMBARD BRAGA - (TERCEI.);R. DIRCE, 106;(11)29016711 (11)29096687;2077080;VL. LEONOR;;;TERCEIRIZADA;;;94790;03/03/1998;10/07/2007;
2597;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2;EMEF                ;7140;EMEF ALBERTO SANTOS DUMONT - (TERCEI.);R. TTE. SOTOMANO, 1920;(11)22018090 (11)22125955;2226001;VL. SABRINA;;;TERCEIRIZADA;;;94862;02/03/1995;10/07/2007;
2598;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2;EMEF                ;7136;EMEF JOÃO DOMINGUES SAMPAIO - (TERCEI.);R. GASTÃO MADEIRA, 386;(11)29544822 (11)29540862;2131080;JD. JAPÃO;;;TERCEIRIZADA;;;94820;02/03/1994;14/03/2005;
2599;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2;EMEF                ;7137;EMEF D. PEDRO I - (TERCEI.);PÇA. PRES. JÂNIO DA SILVA QUADROS, S/N;(11)22017173 (11)29341029;2132000;VL. MARIA;;;TERCEIRIZADA;;;94838;02/03/1994;04/09/2002;
2600;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2;EMEF                ;7138;EMEF ALM. TAMANDARÉ - (TERCEI.);R. GAL. MENDES, 7;(11)29544645 (11)29547977;2127020;ALTO VL. MARIA;;;TERCEIRIZADA;;;94846;02/03/1994;02/04/2003;
2601;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2;EMEF                ;7139;EMEF ENÉAS DE CARVALHO AGUIAR - (TERCEI.);R. FRANCISCO FRANCO MACHADO, 74;(11)22010291 (11)29316873;2139020;VL. SABRINA;;;TERCEIRIZADA;;;94854;02/03/1994;14/03/2002;
2602;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;1;EMEI                ;6783;EMEI PE. ANCHIETA - (TERCEI.);R. MARIA CÂNDIDA, 1592;(11)29092266 (11)29093661;2071002;VL. GUILHERME;;;TERCEIRIZADA;;;92169;02/03/1994;10/07/2007;
2603;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;1;EMEI                ;6785;EMEI ANA NERI - (TERCEI.);R. SOLD. ALBINO CESAR, 25;(11)29675166 (11)29675643;2180010;PQ. NOVO MUNDO;;;TERCEIRIZADA;;;92185;02/03/1994;10/07/2007;
2604;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;1;EMEI                ;6787;EMEI CARLOS GOMES (TERC);PÇA. PRES. JÂNIO DA SILVA QUADROS, S/N;(11)29823111 (11)29821444;2132000;VL. MARIA ALTA;;;TERCEIRIZADA;;;92207;25/02/1994;08/06/2015;
2605;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;1;EMEI                ;6789;EMEI PROFA. MARIA ISABEL PACHECO ALMEIDA RIBEIRO - (TERCEI.);R. FRANCISCO FRANCO MACHADO, 160;(11)22018166 (11)29315773;2139020;VL. SABRINA;;;TERCEIRIZADA;;;92223;02/02/1995;10/07/2007;
2606;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;1;EMEI                ;6791;EMEI PROFA. LAURA FUNFAS DE SUER - (TERCEI.);AV. JÚLIO BUONO, 915;(11)22018906 (11)29315739;2201000;VL. EDE;;;TERCEIRIZADA;;;92282;01/03/1994;24/07/2008;
2607;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;1;EMEI                ;6793;EMEI DNA. MARIA YOLANDA S. PINTO HAHNE - (TERCEI.);R. GASTÃO MADEIRA, S/N;(11)29559902 (11)29676624;2131080;VL. MARIA ALTA;;;TERCEIRIZADA;;;230;02/03/1994;10/07/2007;
2608;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;1;EMEI                ;6794;EMEI PROF. ITALO BETTARELLO - (TERCEI.);AV. JULIO BUONO, 2680;(11)22018290 (11)22126181;2201000;VL. GUSTAVO;;;TERCEIRIZADA;;;92274;24/02/1994;10/07/2007;
2609;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;1;EMEI                ;6784;EMEI PROF. LOURENÇO FILHO (TERC);R. DOM. LUIZ FELIPE DE ORLEANS, 1062;(11)29544860;2118001;VL. MARIA BAIXA;;;TERCEIRIZADA;;;92177;02/03/1994;08/06/2015;
2610;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;1;EMEI                ;9463;EMEI PROF. FERNANDO CAMARGO SOARES - (TERCEI.);R. GIUSEPPE MARINO, S/N;(11)26363447 (11)26363446;2181190;PQ. NOVO MUNDO;;;TERCEIRIZADA;;;19658;02/03/2001;10/07/2007;
2611;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;1;EMEI                ;9385;EMEI PROF. PEDRO ALVARES CABRAL MORAES - (TERCEI.);R. LEONOR FERNANDES COSTA ZACHARIAS, 2150;(11)29097200 (11)29052956;2052020;VL. GUILHERME;;;TERCEIRIZADA;;;19470;02/03/2000;10/07/2007;
2612;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;1;EMEI                ;9345;EMEI PROFA. EDALZIR SAMPAIO LIPORONE - (TERCEI.);R. N. SRA. APARECIDA, 5;(11)29555910 (11)29555267;2169290;PQ. VILA MARIA;;;TERCEIRIZADA;;;19381;02/03/2000;10/07/2007;
2613;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;1;EMEI                ;8995;EMEI JOSÉ JOAQUIM DA SILVA - (TERCEI.);R. SOLD. ANÉSIO ANTÃO FERREIRA, 120;(11)29511298 (11)22121644;2142000;PQ. NOVO MUNDO;;;TERCEIRIZADA;;;17728;03/03/1998;14/03/2002;
2614;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;1;EMEI                ;6792;EMEI CIDADE FERNÃO DIAS - (TERCEI.);R. DO BANDOLIM, 27;(11)22016349 (11)29317209;2161080;VL. SABRINA;;;TERCEIRIZADA;;;92231;01/03/1994;10/07/2007;
2615;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;1;EMEI                ;6790;EMEI LUIS GAMA - (TERCEI.);R. INVASÃO DOS HOLANDESES, 45;(11)22012330 (11)22125675;2141070;VL. MARIA;;;TERCEIRIZADA;;;98981;02/03/1994;05/04/2005;
2616;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;1;EMEI                ;6788;EMEI EDUARDO CARLOS PEREIRA - (TERCEI.);R. ANDRÉ DA FONSECA, S/Nº;(11)29544340 (11)29546177;2127020;VL. MARIA ALTA;;;TERCEIRIZADA;;;92215;02/03/1994;10/07/2007;
2617;SME            ;3;V.MARIA /V. GUILHEME;MG;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;1;EMEI                ;6786;EMEI PROF. YUKIO OZAKI - (TERCEI.);PÇA. YEDO, S/N;(11)22010316 (11)29340523;2134050;JD. JAPÃO NOVO;;;TERCEIRIZADA;;;92193;02/03/1994;24/07/2008;
2618;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;7663;CEI CONV. JD. STO. EDUARDO;R. LOURENÇO DA SILVA ARAÚJO E AMAZONAS, 275;(11)27245131;3384010;JD. STO. EDUARDO;01/01/2013;31/12/2017;DIRETA;;;400309;01/03/1999;;
2619;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;7987;CEI CONV. N. SRA. DO SAGRADO CORAÇÃO;PÇA. LEÃO X, 51;(11)29103205;3359025;VL. FORMOSA;01/01/2013;31/12/2017;DIRETA;;;400444;01/03/1999;;
2620;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;8801;CEI CONV. BENÇÃO DE PAZ;R. RENATO RINALDI, 517;(11)29213979;3426000;VL. CARRÃO;01/01/2013;31/12/2017;DIRETA;;;306341;01/03/1999;;
2621;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;11466;CEI CONV. BOM PASTOR;R. GRECCO, 613;(11)22137833;3373000;VL. DIVA;02/07/2015;01/01/2018;DIRETA;;;306342;11/07/2007;;
2622;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;7998;CEI CONV. MEIMEI;R. JOSÉ OLHER, 66A;(11)22956681;3444100;VL. NOVA MANCHESTER;01/01/2013;31/12/2017;DIRETA;;;306350;01/03/1999;;
2623;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;11155;CEI CONV. CASA DA CRIANÇA FELIZ;R. AREIÃO, 59;(11)20922166 (11)22944764;3410020;TATUAPÉ;23/09/2014;22/03/2017;DIRETA;;;306800;20/04/2007;;
2624;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;10935;CEI CONV. TERESA D´AVILA;R. REGO BARROS, 654;(11)27247739;3460000;JD. VL. FORMOSA;12/05/2014;11/05/2017;DIRETA;;;306739;25/09/2006;;
2625;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;9727;CEI CONV. LYLY BYAN;R. TANGANICA, 118;(11)26723490;3359140;VL. FORMOSA;12/07/2015;11/01/2018;DIRETA;;;400482;27/03/2003;;
2626;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;9111;CEI CONV. MA-MA;R. JOÃO VIEIRA PRIOSTI, 1815;(11)27811331;3429000;VL. CARRÃO;01/01/2013;31/12/2017;DIRETA;;;306347;01/03/1999;;
2627;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;9001;CEI CONV. DEP. ORLANDO IAZZETTI;R. BARRA DO CAMARAGIBE, 160;(11)21155896;3383120;VILA GUARANI;01/01/2013;31/12/2017;DIRETA;;;400442;01/03/1999;;
2628;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;7989;CEI CONV. STA. RITA;R. FRANCISCA DE PAULA, 469;(11)27813555;3436000;VL. CARRÃO;02/08/2013;01/11/2016;DIRETA;;;306358;07/02/2000;;
2629;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;7860;CEI CONV. SÃO JOÃO BATISTA;R. DOS PINGÜINS, 160;(11)22967464;3407090;CHAC. SANTO ANTÔNIO;01/01/2013;31/12/2017;DIRETA;;;306360;01/03/1999;;
2630;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;13388;CEI CONV. VOVÓ LUIZA;RUA HEMISFÉRIO, 713;(11)22118400;3375000;CHACARA BELENZINHO;18/12/2015;17/06/2018;DIRETA;;;308725;25/04/2016;;
2631;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;13332;CEI CONV. ALVORADA;R. MURUTINGA DO SUL, 73;(11)20910596;3411120;CHÁCARA STO. ANTONIO;28/12/2015;27/06/2018;DIRETA;;;308553;11/02/2016;;
2632;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;13080;CEI CONV. FONTE DO SABER II;R. CAETANO DO AMARAL, 129;(11)23649394;3382130;VILA CRUZEIRO;11/11/2014;10/05/2017;DIRETA;;;308185;01/04/2015;;
2633;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;13036;CEI CONV. MARIA ANGELA TOSCANO STRAUB;R. DRº ARTUR DE SANTI, 33;(11)28672702;3373060;CHACARA MAFALDA;08/09/2014;07/03/2017;DIRETA;;;308139;23/01/2015;;
2634;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;12990;CEI CONV. SEMEANDO ALEGRIA;R. NEBULOSA, 79;(11)22113839;3371020;CHÁC. BELENZINHO;20/08/2014;19/02/2017;DIRETA;;;308127;07/10/2014;;
2635;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;12978;CEI CONV. NOVOS RUMOS II;R. ANTONIO NETO CALDEIRA, 462;(11)27217581 (11)27217562;3475040;VL. ANTONIETA;25/03/2014;24/03/2017;DIRETA;;;308077;02/09/2014;;
2636;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;12887;CEI CONV. MULEQUE;R. CASTELO RODRIGO, 296;(11)23011631;3911010;JD. IVA;20/04/2016;19/10/2018;DIRETA;;;308014;14/02/2014;;
2637;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;12764;CEI CONV FONTE DO SABER;RUA FABIO, 300;(11)22111490;3378060;VILA FORMOSA;24/03/2015;23/09/2017;DIRETA;;;307856;30/01/2013;;
2638;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;12730;CEI CONV. REINO DOS PEQUENINOS;AV. MONTEMAGNO, 2365;(11)26673585;3371000;VILA FORMOSA;18/07/2012;17/07/2017;DIRETA;;;307822;06/11/2012;;
2639;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;12566;CEI CONV. SONIA MARIA DOS ANJOS MARTINELLI;R. ANGÁ, 633;(11)22114481;3360030;VL. FORMOSA;20/06/2016;19/12/2018;DIRETA;;;307552;09/08/2011;;
2640;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;12453;CEI CONV. COLIBRI;R. GEDIVALDO CALIXTO DE SOUZA, 158;(11)27213647;3479030;VILA NOVA YORK;04/08/2015;03/02/2018;DIRETA;;;307280;16/08/2010;;
2641;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;12348;CEI CONV. CARRÃO II;AV. CONSELHEIRO CARRÃO, 143;(11)29420392;3402000;VL. CARRÃO;01/09/2014;28/02/2017;DIRETA;;;400605;15/01/2010;;
2642;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;12264;CEI CONV. CEL. PAULO NUNES VIEIRA;R. ARAPOCA, 318;(11)27698611;3362000;VL. FORMOSA;30/07/2014;29/01/2017;DIRETA;;;307128;18/09/2009;;
2643;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;11850;CEI CONV. FAMÍLIA FRUTO FIEL;R. MINÉRIOS ATÔMICOS, 89;(11)20592932;3476020;VL. ANTONIETA;10/12/2015;09/06/2018;DIRETA;;;306906;05/09/2008;;
2644;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;11696;CEI CONV. CRECHE DOCE LAR DO IRMÃO BENEDITO;R. CAGUASSÚ, 119;(11)27223657;3908180;VL.NOVA YORK;28/09/2010;14/01/2018;DIRETA;;;306902;09/05/2008;;
2645;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;11686;CEI CONV. ESPAÇO DA COMUNIDADE III;R. TAMAINDE, 1233;(11)22953004;3444000;VL MANCHESTER;20/05/2015;19/11/2017;DIRETA;;;306860;24/04/2008;;
2646;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;11685;CEI CONV. IRMÃ NICE;R. JOÃO VIEIRA  PRIOSTE, 74;(11)22963462;3429000;VL. CARRÃO;13/01/2013;12/01/2018;DIRETA;;;306876;24/04/2008;;
2647;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;7667;CEI CONV. ANA MARIA NACINOVIC CORREA;R. RUFINO FERNANDES INIVARRI, 400;(11)27223163;3907020;VL. NOVA YORK;01/01/2013;31/12/2017;DIRETA;;;400310;01/03/1999;;
2648;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;11;CEI CONVENIADO      ;7856;CEI CONV. ESPAÇO CRIANÇA - REV. EZEQUIAS DOS SANTOS;R. DIAMANTE PRETO, 533;(11)22962505;3405000;TATUAPÉ;14/05/2013;13/05/2018;DIRETA;;;306340;01/03/1999;;
2649;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;9;CEI MUNICIPAL       ;10042;CEI MUN. DANIELLE MONTEIRO - JD. CATARINA - (TERCEI.);R. SEN. HENRIQUE NOVAES, 310;(11)27222741;3906000;JD. CAGUASSU;;;TERCEIRIZADA;;;400071;;16/09/2004;
2650;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;9;CEI MUNICIPAL       ;10043;CEI MUN. VER. CORYNTHO BALDOINO DA COSTA FILHO - (TERCEI.);R. JULIO PARIGOT, 203;(11)27247725;3478007;VL. ANTONIETA;;;TERCEIRIZADA;;;400036;01/03/1999;16/09/2004;
2651;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;9;CEI MUNICIPAL       ;10044;CEI MUN. VER. GABRIEL NOGUEIRA DE QUADROS - (TERCEI.);R. LAGOA SECA, 00067;(11)29169195;3462100;JD. RECORD;;;TERCEIRIZADA;;;400050;;01/09/2004;
2652;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;9;CEI MUNICIPAL       ;12096;CEU CEI MUN. FORMOSA - (TERCEI.);RUA SARGENTO CLAUDINER EVARISTO DIAS 10, S/N;(11)22160526;3385150;PQ SANTO ANTONIO;;;TERCEIRIZADA;;;400691;18/02/2009;18/02/2009;
2653;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2;EMEF                ;7166;EMEF GUIMARÃES ROSA - (TERCEI.);PÇA. HAROLDO DALTRO, 466;(11)22954174;3444090;VL. NOVA MANCHESTER;;;TERCEIRIZADA;;;95192;02/03/1994;10/07/2007;
2654;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2;EMEF                ;7163;EMEF PRES. KENNEDY - (TERCEI.);R. ACURUI, 700;(11)26734196;3355000;VL. FORMOSA;;;TERCEIRIZADA;;;95117;02/03/1994;10/07/2007;
2655;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2;EMEF                ;7164;EMEF BARTOLOMEU LOURENÇO DE GUSMÃO - (TERCEI.);R. PICINGUABA, 802;(11)22945906;3432000;VL.STA. ISABEL;;;TERCEIRIZADA;;;95125;02/03/1994;01/02/2011;
2656;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2;EMEF                ;12095;CEU EMEF MARIA APARECIDA DE SOUZA CAMPOS - (TERCEI.);R. MANOEL FERREIRA PIRES, S/N;(11)22118606;3386090;CAPÃO DO IMBIRA;;;TERCEIRIZADA;;;19386;18/02/2009;18/02/2009;
2657;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2;EMEF                ;10040;EMEF VICENTINA RIBEIRO DA LUZ - (TERCEI.);R. AILTON NEGRÃO FAZZIO, 59;(11)27245658;3384020;PQ.. STO. EDUARDO;;;TERCEIRIZADA;;;95141;02/03/1994;10/07/2007;
2658;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2;EMEF                ;10039;EMEF SÉRGIO MILLIET- (TERCEI.);R. DR. PAULO DE ANDRADE ARANTES, 125;(11)27833463;3451090;PQ. MARIA LUIZA;;;TERCEIRIZADA;;;95184;01/03/2002;01/02/2011;
2659;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2;EMEF                ;10038;EMEF ROQUETTE PINTO - (TERCEI.);R. PROFA. ALZIRA DE OLIVEIRA GILIOLI, 32;(11)22163864;3905090;JD. NICE;;;TERCEIRIZADA;;;95150;;19/04/2005;
2660;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2;EMEF                ;10037;EMEF DR. JOÃO NAOKI SUMITA - (TERCEI.);AV. MONS.  ANTÔNIO DE CASTRO, 222;(11)21547028;3461000;JD. VL. FORMOSA;;;TERCEIRIZADA;;;95133;21/06/1974;10/07/2007;
2661;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;1;EMEI                ;6809;EMEI PROFA. MARIA LAURA SOUZA CAMPOS - (TERCEI.);R. MORORO, 419;(11)22953938;3410060;CHAC. STO. ANTONIO;;;TERCEIRIZADA;;;91286;02/03/1994;19/04/2005;
2662;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;1;EMEI                ;6822;EMEI PROF.  ALBERTO MESQUITA DE CAMARGO - (TERCEI.);PÇA. BARÃO HOMEM DE MELO, S/N;(11)22961400;3423010;VL. CARRAO;;;TERCEIRIZADA;;;92100;02/03/1994;23/07/2008;
2663;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;1;EMEI                ;6821;EMEI PROF. JOÃO ORTALE - (TERCEI.);PÇA. DIOGO DE AGUIRRE, S/N;(11)26742062;3363110;VL. FORMOSA;;;TERCEIRIZADA;;;92096;02/03/1994;10/07/2007;
2664;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;1;EMEI                ;9177;EMEI PROFA. THEREZA THÉ DE CARVALHO;R. BARRA DO CAMARAGIBE, 200;(11)21158177;3383120;PQ. CRUZEIRO DO SUL;;;DIRETA;;;19062;03/03/1998;;
2665;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;1;EMEI                ;12103;CEU EMEI FORMOSA - (TERCEI.);R. SARGENTO CLAUDINER EVARISTO DIAS, 10;(11)22162140;3385150;PARQUE STO ANTONIO;;;TERCEIRIZADA;;;19377;25/02/2009;25/02/2009;
2666;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;1;EMEI                ;10045;EMEI PROFA. OLANDYA PERES RIBEIRO - (TERCEI.);R. DR. MARIANO CURSINO DE MOURA, 395;(11)27830893;3451000;PQ. MARIA LUIZA;;;TERCEIRIZADA;;;92134;02/03/1994;10/07/2007;
2667;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;1;EMEI                ;6823;EMEI PROFA. SUZANA EVANGELINA FELIPPE - (TERCEI.);PÇA. HAROLDO DALTRO, S/N;(11)29411368;3444090;VL. NOVA MANCHESTER;;;TERCEIRIZADA;;;92142;02/03/1994;19/05/2003;
2668;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;1;EMEI                ;10036;EMEI PROFA. NEYL GOMEZ MARTIN - (TERCEI.);R. MIGUEL BASTOS SOARES, 275;(11)20041057;3910000;JD. CATARINA;;;TERCEIRIZADA;;;92118;02/03/1994;10/07/2007;
2669;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;1;EMEI                ;9188;EMEI JOÃO RUBENS MARCELO;R. AZEVEDO E BRITO, 395;(11)27837455;3366040;VL. FORMOSA;;;DIRETA;;;19089;02/04/1998;;
2670;SME            ;4;ARICANDUVA          ;AF;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;1;EMEI                ;6820;EMEI FRANCISCO ROQUETTI - (TERCEI.);PÇA. LEÃO X, S/N;(11)20045184;3359025;VL. FORMOSA;;;TERCEIRIZADA;;;92088;01/03/1994;25/08/2003;
